Timestamp,FRIO,ESCL,BALO,POLI,CARR,COLE,ARMA,PUER,AVIO,SATR,SADE,FOTO,BUSE,FILA,ALTO
8/5/2017 10:29:18,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,1.58
8/3/2017 15:58:35,Si,Si,No,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,1.8
8/3/2017 21:38:08,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,1.54
8/3/2017 17:26:30,Si,No,Si,Si,No,No,Si,Si,Si,No,No,Si,No,Si,1.68
8/3/2017 17:27:13,No,No,No,No,No,No,Si,No,Si,No,No,No,Si,No,1.71
8/3/2017 17:28:16,No,No,No,Si,No,No,Si,No,Si,No,No,No,No,No,1.62
8/3/2017 17:28:25,Si,No,Si,Si,No,No,Si,No,Si,No,No,No,No,No,1.60
8/3/2017 17:29:45,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,1.50
8/3/2017 17:32:24,No,Si,No,No,Si,No,Si,No,Si,Si,Si,Si,No,Si,1.78
8/3/2017 17:28:26,No,Si,No,No,No,No,Si,No,Si,No,Si,No,No,No,1.57
8/3/2017 17:33:08,No,No,No,Si,No,No,Si,No,Si,Si,No,No,No,No,1.63
8/3/2017 17:33:35,No,No,Si,No,No,No,Si,No,Si,Si,No,Si,Si,Si,1.66
8/3/2017 17:34:03,Si,Si,No,No,No,No,Si,No,No,No,No,No,Si,No,1.63
8/3/2017 17:35:55,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,1.55
8/3/2017 17:40:35,No,Si,No,Si,No,Si,Si,No,Si,Si,Si,Si,Si,Si,1.77
8/3/2017 17:42:38,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,1.62
8/3/2017 17:44:23,Si,No,Si,Si,No,No,Si,No,Si,No,Si,No,No,No,1.68
8/3/2017 17:49:04,No,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,Si,1.72
8/3/2017 17:52:05,No,Si,Si,No,Si,Si,Si,No,Si,No,No,Si,No,Si,1.69
8/3/2017 17:53:04,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,1.57
8/3/2017 21:03:38,No,Si,Si,No,No,Si,Si,No,Si,Si,No,Si,No,Si,1.67
8/3/2017 17:26:29,No,Si,Si,No,No,No,Si,No,Si,Si,Si,Si,No,No,1.64
8/3/2017 17:54:40,Si,Si,No,No,No,No,Si,No,Si,No,Si,Si,No,No,1.65
8/3/2017 17:55:16,Si,Si,No,Si,No,No,Si,No,Si,No,No,Si,Si,Si,1.74
8/3/2017 17:57:21,No,Si,No,No,No,No,Si,No,No,No,Si,No,No,No,1.59
8/3/2017 18:06:43,No,No,Si,No,No,No,Si,No,Si,No,No,Si,No,No,1.65
8/3/2017 18:03:33,No,Si,No,No,No,No,Si,No,No,No,Si,Si,No,No,1.60
8/3/2017 18:07:50,No,Si,Si,No,No,Si,Si,No,Si,No,No,No,No,Si,1.67
8/3/2017 18:09:26,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,1.59
8/3/2017 18:11:56,Si,Si,No,No,No,Si,Si,No,Si,Si,Si,No,Si,Si,1.71
8/3/2017 18:12:45,Si,Si,No,No,No,No,Si,No,Si,No,Si,No,No,No,1.64
8/3/2017 18:13:51,Si,No,Si,Si,No,Si,Si,No,Si,Si,Si,Si,Si,Si,1.82
8/3/2017 18:13:55,No,Si,Si,Si,No,No,Si,Si,Si,Si,No,Si,Si,Si,1.79
8/3/2017 18:17:30,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,1.60
8/3/2017 18:18:15,Si,No,Si,No,No,Si,Si,No,Si,No,Si,No,No,Si,1.67
8/3/2017 18:22:45,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,1.60
8/3/2017 18:23:41,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,No,Si,No,Si,1.78
8/3/2017 18:35:16,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,1.50
8/3/2017 19:00:04,Si,Si,Si,No,No,No,Si,No,Si,No,No,Si,No,Si,1.66
8/3/2017 19:08:40,Si,Si,No,No,No,No,Si,No,No,No,No,Si,Si,No,1.61
8/3/2017 19:10:05,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,1.54
8/3/2017 19:08:52,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,1.53
8/3/2017 19:08:52,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,1.53
8/3/2017 20:01:49,No,Si,Si,No,No,No,Si,No,Si,Si,Si,Si,Si,Si,1.8
8/3/2017 20:08:22,Si,Si,Si,No,No,No,Si,No,Si,Si,Si,Si,Si,Si,1.75
8/3/2017 20:32:50,No,Si,No,Si,No,No,No,No,Si,No,No,Si,No,No,1.65
8/3/2017 21:28:29,No,Si,Si,Si,Si,No,Si,No,Si,Si,Si,Si,Si,Si,1.8
8/3/2017 23:02:51,No,Si,No,Si,No,No,No,No,Si,No,No,No,No,No,1.6
8/3/2017 23:51:51,No,Si,No,No,Si,No,No,No,Si,No,No,No,No,No,1.6
8/4/2017 0:02:59,No,Si,Si,Si,No,Si,Si,No,Si,Si,Si,Si,Si,Si,1.72
8/4/2017 0:07:52,No,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,1.82
8/4/2017 6:20:11,No,Si,No,Si,No,No,No,No,Si,No,No,No,No,No,1.63
8/4/2017 10:14:31,No,Si,No,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,1.85
8/4/2017 17:42:32,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,1.52
8/4/2017 18:00:32,No,No,Si,No,No,No,Si,No,No,No,No,Si,No,No,1.63
8/4/2017 18:36:06,No,No,Si,No,No,No,Si,No,Si,No,No,Si,No,Si,1.65
8/4/2017 18:53:48,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,1.53
8/4/2017 19:15:14,Si,No,Si,No,No,No,Si,No,Si,No,No,Si,No,Si,1.67
8/4/2017 20:54:32,Si,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,1.65
8/4/2017 21:37:22,No,No,Si,No,No,No,Si,No,Si,No,Si,No,Si,Si,1.65
8/4/2017 21:44:39,Si,Si,No,No,Si,No,No,No,No,No,No,No,No,No,1.6
8/4/2017 21:46:47,Si,No,No,Si,No,Si,Si,No,No,No,Si,No,No,Si,1.63
8/4/2017 21:47:15,Si,No,No,Si,No,No,Si,No,Si,No,No,No,No,Si,1.65
8/4/2017 21:49:07,Si,Si,No,No,No,No,Si,No,Si,No,No,No,Si,No,1.65
8/4/2017 21:59:43,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,1.5
8/4/2017 22:03:30,Si,Si,Si,No,No,No,No,No,No,Si,Si,No,No,No,1.55
8/4/2017 22:07:46,Si,No,Si,No,No,No,Si,No,Si,No,No,Si,No,Si,1.62
8/4/2017 22:10:51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.5
,Si,No,No,Si,Si,No,Si,No,No,No,Si,Si,Si,Si,1.65
,Si,No,Si,No,Si,Si,Si,No,No,No,No,No,No,No,1.53
,No,No,Si,Si,No,No,No,No,No,No,Si,No,No,No,1.54
